@relation encuesta

@attribute genero {F,M}
@attribute estadocivil {casado,viudo,divorciado,soltero}
@attribute fuma {SI,NO}
@attribute multivitaminico {SI,NO}
@attribute estatura {muyAlto,alto,mediano,bajo}
@attribute edadencuesta {adulto,adultoJoven,medioJoven,muyJoven}
@attribute edadmuerte {joven,anciano,mayor,muyMayor}

@data
F,divorciado,SI,SI,muyAlto,adulto,joven
F,soltero,NO,SI,alto,adultoJoven,muyMayor
M,casado,NO,NO,alto,adultoJoven,muyMayor
F,viudo,NO,SI,alto,adultoJoven,mayor
M,viudo,NO,SI,alto,adultoJoven,muyMayor
M,soltero,SI,SI,mediano,medioJoven,joven
M,soltero,SI,NO,mediano,medioJoven,joven
F,soltero,SI,NO,mediano,medioJoven,joven
F,divorciado,NO,NO,mediano,medioJoven,mayor
F,divorciado,NO,SI,bajo,muyJoven,joven
M,viudo,SI,SI,mediano,medioJoven,joven
M,divorciado,NO,SI,mediano,medioJoven,mayor
M,viudo,SI,NO,mediano,medioJoven,joven
M,soltero,SI,SI,alto,adultoJoven,joven
F,soltero,SI,NO,alto,adultoJoven,joven
F,divorciado,SI,NO,mediano,medioJoven,joven
M,soltero,NO,SI,mediano,medioJoven,joven
F,viudo,SI,NO,mediano,medioJoven,joven
F,casado,SI,SI,mediano,medioJoven,joven
M,viudo,NO,NO,bajo,muyJoven,joven
F,casado,NO,SI,mediano,medioJoven,joven
M,soltero,NO,SI,muyAlto,adulto,anciano
F,casado,NO,NO,mediano,medioJoven,mayor
M,casado,NO,SI,alto,adultoJoven,mayor
M,divorciado,SI,NO,mediano,medioJoven,joven
M,casado,SI,NO,muyAlto,adulto,joven
M,soltero,NO,NO,alto,adultoJoven,muyMayor
M,viudo,SI,SI,bajo,muyJoven,joven
M,soltero,SI,NO,mediano,medioJoven,joven
F,viudo,SI,NO,alto,adultoJoven,joven
M,casado,SI,SI,mediano,medioJoven,joven
F,casado,SI,SI,mediano,medioJoven,joven
M,soltero,SI,SI,muyAlto,adulto,joven
M,casado,SI,SI,muyAlto,adulto,joven
F,viudo,NO,SI,alto,adultoJoven,muyMayor
M,soltero,SI,SI,alto,adultoJoven,joven
F,casado,NO,NO,mediano,medioJoven,mayor
M,viudo,NO,NO,mediano,medioJoven,joven
F,casado,SI,SI,mediano,medioJoven,joven
F,casado,SI,NO,muyAlto,adulto,joven
F,casado,SI,NO,mediano,medioJoven,joven
F,casado,SI,SI,alto,adultoJoven,joven
M,divorciado,SI,NO,mediano,medioJoven,joven
M,divorciado,SI,NO,mediano,medioJoven,joven
F,soltero,NO,NO,mediano,medioJoven,joven
F,soltero,SI,NO,alto,adultoJoven,joven
M,divorciado,SI,SI,muyAlto,adulto,joven
